2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,2,3,3,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2,2,2,2,3,3,3,0,0,0,0,0,0,4,4,0,0,0,0,0
0,2,2,2,2,3,3,0,0,0,0,0,0,4,4,0,0,6,0,0
0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
0,0,0,4,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0
0,0,4,4,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0
0,4,4,0,0,0,6,0,0,0,0,0,0,0,0,4,4,0,0,0
0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,5
1,5,5,0,0,7,0,0,0,0,0,4,0,0,0,0,7,5,5,1
1,1,5,5,7,0,0,0,0,0,0,0,0,0,0,5,5,5,1,1
1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1
1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
